title,Issue,MHC Grade,MHC Price,CGC Grade,Page Quality,Note,Year,Publisher
adventures into the unknown,30,FN,$3.00 ,,,,,
adventures into the unknown,31,NM+,$8.00 ,,,,,
adventures into the unknown,32,NM+,$8.00 ,,,,,
adventures into the unknown,33,FN,$3.00 ,,,,,
adventures into the unknown,34,FN,$2.00 ,,,,,
adventures into the unknown,35,FN,$2.00 ,,,,,
adventures into the unknown,36,FN,$2.00 ,,,,,
adventures into the unknown,37,VG,$2.00 ,,,,,
adventures into the unknown,38,FN,$2.00 ,,,,,
adventures into the unknown,39,VG,$2.00 ,,,,,
adventures into the unknown,40,VG,$2.00 ,,,,,
adventures into the unknown,41,FN,$2.00 ,,,,,
adventures into the unknown,42,VG,$2.00 ,,,,,
adventures into the unknown,43,NM,$2.00 ,,,,,
adventures into the unknown,50,FN,$2.00 ,,,,,
adventures into the unknown,53,VG,$3.00 ,,,,,
adventures into weird worlds,2,VG,$3.00 ,,,,,
adventures into weird worlds,3,VG,$3.00 ,,,,,
adventures into weird worlds,4,G,$2.00 ,,,,,
adventures into weird worlds,5,G,$2.00 ,,,,,
adventures into weird worlds,6,VG,$3.00 ,,,,,
adventures into weird worlds,7,FN,$3.00 ,,,,,
adventures into weird worlds,8,FN,$3.00 ,,,,,
adventures into weird worlds,9,FR,$2.00 ,,,,,
adventures into weird worlds,10,G,$2.00 ,,,,,
adventures into weird worlds,11,G,$2.00 ,,,,,
adventures into weird worlds,12,FN,$3.00 ,,,,,
adventures into weird worlds,13,FN,$4.00 ,,,,,
adventures into weird worlds,14,FN,$3.00 ,,,,,
adventures into weird worlds,15,FN,$3.00 ,,,,,
adventures into weird worlds,16,G,$3.00 ,,,,,
adventures into weird worlds,18,VG,$3.00 ,,,,,
adventures of alan ladd,1,G,$4.00 ,,,,,
adventures of alan ladd,2,VG,$5.00 ,,,,,
adventures of alan ladd,7,VG,$5.00 ,,,,,
adventures of bob hope,1,NM+,$25.00 ,,,,,
adventures of bob hope,2,NM,$10.00 ,,,,,
adventures of bob hope,3,NM,$6.00 ,,,,,
adventures of bob hope,5,VG,$2.00 ,,,,,
